site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise,plot_sum_squares,plot_beta_dispersion,plot_avg_pairwise
ABBY_1,285.05411539324973,0.022702621487197334,0.1665789884624543,285.05411539324973,0.022702621487197334,2.3094692361670233,0.013349533157034816,0.12554477290037047,50.50114290101586,1.5303376636671473,0.20546169493099
ABBY_2,192.80072403007034,0.015355266329250584,0.13422140660427193,192.80072403007034,0.015355266329250584,1.317337289484201,0.007614666413203474,0.09522006306252115,7.761218300664113,0.23518843335345796,0.12128011887765935
BART,71.41636209292483,0.011478039552061206,0.08940244890207386,71.41636209292483,0.011478039552061206,0.6023822178493506,0.007625091365181654,0.07409681627746766,108.82316725466079,3.2006813898429645,0.23115480441460698
BLAN,24.270259588525537,0.010868902637046814,0.11441731626056521,24.270259588525537,0.010868902637046814,0.16397371707654843,0.004315097817803906,0.06885678531976909,7.833460683492411,0.3405852471083657,0.10206957423602751
CLBJ,263.5411048918337,0.017468092058847598,0.1525328150884837,263.5411048918337,0.017468092058847598,1.7651779076111196,0.007354907948379665,0.09864669920874229,17.13131681722726,0.5191308126432502,0.15183308284583705
CPER,33.79846478389272,0.0013980172395720019,0.045356716110812524,33.79846478389272,0.0013980172395720019,0.2628816560972776,9.322044542456652e-4,0.03743729483169012,9.416944846601394,0.13647746154494775,0.04089941149318941
DCFS,42.31476265230584,0.012423594436965895,0.0958304800944874,42.31476265230584,0.012423594436965895,0.16643657487830707,0.003396664793434838,0.060490248476299635,9.3447414219018,0.29202316943443124,0.0838081848248867
DELA,50.302214781867555,0.034126332959204586,0.16721467557487563,50.302214781867555,0.034126332959204586,0.45834923190020915,0.020834055995464052,0.14059070433607698,20.16876836975643,0.5602435658265675,0.1036439989608997
DSNY_1,520.0238136539615,0.033334859849612916,0.20621971604070566,520.0238136539615,0.033334859849612916,5.368981493008699,0.02725371316248071,0.17829029109466382,102.81094194017255,2.7055511036887516,0.17084888004664567
DSNY_2,507.10540791953895,0.03250675691791916,0.20101715785894866,507.10540791953895,0.03250675691791916,5.591750859309317,0.028384522128473692,0.18459526857197206,27.891066076787045,0.7339754230733433,0.25931732444534406
GRSM_1,61.74965999061366,0.00484729256539867,0.08015131212316583,61.74965999061366,0.00484729256539867,1.0636091254038604,0.003924756920309448,0.07202265713451625,11.791697260944819,0.3369056360269948,0.12492683431770643
GRSM_2,284.23359897048226,0.022312080930252158,0.1281394664142892,284.23359897048226,0.022312080930252158,5.801243506709619,0.021406802607784572,0.1284573130299592,65.32452058904617,1.8664148739727477,0.21524066381097587
GUAN_1,136.99811956765132,0.015954130612280345,0.13487277279383736,136.99811956765132,0.015954130612280345,1.9281717995263217,0.017370917112849747,0.14356783806409468,2.6563573293235594,0.10216758958936767,0.0604162180465093
GUAN_2,132.49697069798052,0.015433543470935413,0.13193684447992626,132.49697069798052,0.015433543470935413,1.826336184860177,0.016453479142884475,0.1384119922987697,1.7092577812743721,0.06574068389516816,0.047434139083442094
HARV,66.55268343883183,0.004678242896023607,0.043987199994490286,66.55268343883183,0.004678242896023607,0.71208564786273,0.0037087794159517185,0.04996333530787933,1.8631260857168501,0.06654021734703036,0.04909688585363362
JERC_1,96.76222650195378,0.02171504185411889,0.17943023059175242,96.76222650195378,0.02171504185411889,0.5448050789840782,0.009393191016966864,0.11981931811233693,90.08005785577203,2.434596158264109,0.2847371588609522
JERC_2,102.52897973517359,0.02300919652943752,0.17376293527843858,102.52897973517359,0.02300919652943752,0.580365953808857,0.01000630954842857,0.11753180794143205,18.42695677768829,0.49802585885644024,0.12186238202829691
JORN_1,4.6734964894624875,3.0647888317020705e-4,0.021282656906634067,4.6734964894624875,3.0647888317020705e-4,0.03397132304625625,1.9412184597860713e-4,0.01747873543801102,1.8278191814398745,0.05711934941999608,0.02567325410113078
JORN_2,3.2101952355224705,2.1051841009393866e-4,0.017893003527312257,3.2101952355224705,2.1051841009393866e-4,0.023495142622714578,1.342579578440833e-4,0.014666413204529334,1.8809623515130678,0.05878007348478337,0.02554084856583306
KONA_1,52.10482558279807,0.0374585374427017,0.22903464144673652,52.10482558279807,0.0374585374427017,1.1297024182082558,0.02689767662400609,0.1976834077689509,58.3547062164507,1.7163148887191382,0.14369887691704852
KONA_2,11.40430267445932,0.008198635998892393,0.11329968219494305,11.40430267445932,0.008198635998892393,0.3478783933628946,0.008282818889592728,0.1149725065723579,13.792019357752377,0.40564762816918754,0.08744786074786226
KONZ,64.11397937126496,0.0050711049095361034,0.0765480653680678,64.11397937126496,0.0050711049095361034,0.31957653183676676,0.0021305102122451116,0.04887714535048961,4.333976729382937,0.13543677279321678,0.05585092594088822
LAJA,17.48683387617799,0.011377250407402726,0.12360386569811584,17.48683387617799,0.011377250407402726,0.2050225191795512,0.007069742040674179,0.10073254088783659,12.774177996514542,0.2903222271935123,0.08238881106112966
LENO_1,54.835340276585804,0.01961908417766934,0.12573992055427072,54.835340276585804,0.01961908417766934,1.0896405360229071,0.021365500706331513,0.1360305118019732,3.436610852734047,0.10739408914793896,0.0646827155173253
LENO_2,7.61968557820999,0.0027261844644758462,0.051885382914642786,7.61968557820999,0.0027261844644758462,0.05276173965411567,0.0010345439147865817,0.03754859396055595,2.2319602308024153,0.06974875721257548,0.05432240710582311
MLBS,35.42068345879788,0.008411466031535949,0.07504511598482255,35.42068345879788,0.008411466031535949,0.2731706169733542,0.003794036346852142,0.05356734948991349,15.334259942850586,0.464674543722745,0.07273939531648753
MOAB_1,18.717560713850258,0.0010274776699703714,0.03954540787043842,18.717560713850258,0.0010274776699703714,0.12398661897679297,5.584982836792477e-4,0.029759984876831694,16.82086469062002,0.5097231724430309,0.07425598752454964
