"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"beta_agg_sum_squares","TD_Shannon_Eff_Layered",0.150899420065225,0.591392293014278,"Open / Sparse Cover",0.0227706349760213,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_Layered",0.559979995189684,0.0299372661596231,"Open / Sparse Cover",0.313577595012638,"*"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_Layered",0.615694268137803,0.0145426325232712,"Open / Sparse Cover",0.379079431817744,"*"
"sum_squares","TD_Simpson_Eff_Layered",-0.193088075267864,0.490519761992818,"Open / Sparse Cover",0.0372830048106483,"ns"
"Beta_dispersion","TD_Simpson_Eff_Layered",-0.357084332023415,0.19135275323866,"Open / Sparse Cover",0.127509220176608,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_Layered",-0.470595157892353,0.0766623593751357,"Open / Sparse Cover",0.221459802631729,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_Layered",-0.184243688646707,0.510967839759156,"Open / Sparse Cover",0.0339457368061446,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_Layered",-0.28923120068569,0.295760499713712,"Open / Sparse Cover",0.083654687450086,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_Layered",-0.433142987725369,0.106790231486947,"Open / Sparse Cover",0.187612847815659,"ns"
"sum_squares","TD_Beta_Bray_Layered",0.078833408027468,0.780040065800831,"Open / Sparse Cover",0.00621470622122526,"ns"
"Beta_dispersion","TD_Beta_Bray_Layered",0.352586309678219,0.197408324051683,"Open / Sparse Cover",0.124317105772505,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_Layered",0.454901674680294,0.0884326829145066,"Open / Sparse Cover",0.206935533626936,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_Layered",0.0805060668435774,0.775482159343155,"Open / Sparse Cover",0.00648122679862255,"ns"
"beta_agg_dispersion","TD_Beta_Bray_Layered",0.255456320043862,0.358135773058646,"Open / Sparse Cover",0.0652579314503519,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_Layered",0.38509864373394,0.15634826659664,"Open / Sparse Cover",0.14830096540572,"ns"
"sum_squares","TD_Beta_Dispersion_Layered",0.197529690606858,0.480399124564567,"Open / Sparse Cover",0.039017978671241,"ns"
"Beta_dispersion","TD_Beta_Dispersion_Layered",0.44183652318383,0.0991636638270275,"Open / Sparse Cover",0.195219513219175,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_Layered",0.516125717285697,0.0488874269060959,"Open / Sparse Cover",0.266385756043676,"*"
"beta_agg_sum_squares","TD_Beta_Dispersion_Layered",0.199193968516162,0.476632879796011,"Open / Sparse Cover",0.0396782370932178,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_Layered",0.339724599442485,0.215397393843736,"Open / Sparse Cover",0.115412803466357,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_Layered",0.448747284678603,0.093379788142353,"Open / Sparse Cover",0.201374125506419,"ns"
"sum_squares","TD_Richness_Layered",0.991867692053604,0.0812450268411605,"High Stem Density",0.983801518539742,"ns"
"Beta_dispersion","TD_Richness_Layered",0.573998912215216,0.610782716542571,"High Stem Density",0.329474751224251,"ns"
"Beta_avg_pairwise","TD_Richness_Layered",0.6775467420755,0.526086300167782,"High Stem Density",0.459069587697125,"ns"
"beta_agg_sum_squares","TD_Richness_Layered",0.996808113969852,0.0508785112117244,"High Stem Density",0.993626416076133,"ns"
"beta_agg_dispersion","TD_Richness_Layered",0.404505547277229,0.734887267751454,"High Stem Density",0.163624737778051,"ns"
"Beta_agg_avg_pairwise","TD_Richness_Layered",0.51200063875531,0.657809073285422,"High Stem Density",0.262144654085845,"ns"
"sum_squares","TD_Shannon_Eff_Layered",0.930522063530308,0.23870731234559,"High Stem Density",0.865871310716702,"ns"
"Beta_dispersion","TD_Shannon_Eff_Layered",0.757008298291884,0.453320431038141,"High Stem Density",0.573061563682774,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_Layered",0.836992062076384,0.368624014663352,"High Stem Density",0.700555711978877,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_Layered",0.986017743176515,0.106583774292705,"High Stem Density",0.972230989858908,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_Layered",0.616098072626457,0.577424982247025,"High Stem Density",0.379576835094035,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_Layered",0.706721491915451,0.500346787780993,"High Stem Density",0.499455267135201,"ns"
"sum_squares","TD_Simpson_Eff_Layered",-0.881778351809265,0.312692948222517,"High Stem Density",0.777533061719463,"ns"
"Beta_dispersion","TD_Simpson_Eff_Layered",-0.82766744431865,0.379334795161215,"High Stem Density",0.685033398384966,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_Layered",-0.894798394235979,0.294638378786425,"High Stem Density",0.800664166327287,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_Layered",-0.960043764302178,0.180569410169632,"High Stem Density",0.921684029375496,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_Layered",-0.703276327254989,0.503439346370098,"High Stem Density",0.494597592477266,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_Layered",-0.783991456800877,0.426361151904065,"High Stem Density",0.614642604336762,"ns"
"sum_squares","TD_Beta_Bray_Layered",-0.264992651348755,0.829260931774226,"High Stem Density",0.0702211052688429,"ns"
"Beta_dispersion","TD_Beta_Bray_Layered",0.730352824855634,0.478711324842042,"High Stem Density",0.533415248774604,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_Layered",0.63329042214404,0.563407741216832,"High Stem Density",0.401056758779376,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_Layered",-0.0606199439536011,0.961384469827111,"High Stem Density",0.00367477760493774,"ns"
"beta_agg_dispersion","TD_Beta_Bray_Layered",0.848836915604866,0.354606773633159,"High Stem Density",0.720524109293582,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_Layered",0.778772819908492,0.431684968099191,"High Stem Density",0.606487105028225,"ns"
"sum_squares","TD_Beta_Dispersion_Layered",-0.315453732968723,0.795686584391094,"High Stem Density",0.0995110576439026,"ns"
"Beta_dispersion","TD_Beta_Dispersion_Layered",0.693330009641576,0.512285672225174,"High Stem Density",0.480706502269588,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_Layered",0.5916137980111,0.596982088599963,"High Stem Density",0.350006885997119,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_Layered",-0.113152733332935,0.92781012244398,"High Stem Density",0.0128035410607143,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_Layered",0.819789216783643,0.38818112101629,"High Stem Density",0.672054359954739,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_Layered",0.744622230040906,0.465259315482323,"High Stem Density",0.554462265471092,"ns"
