"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"beta_agg_sum_squares","TD_Shannon_Eff_TopDown",0.213373710235409,0.445130572124127,"Open / Sparse Cover",0.0455283402196244,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_TopDown",0.546441051823746,0.0350616525114085,"Open / Sparse Cover",0.298597823118242,"*"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_TopDown",0.574064280482227,0.0252278465756037,"Open / Sparse Cover",0.329549798125577,"*"
"sum_squares","TD_Simpson_Eff_TopDown",-0.201940223826287,0.470449377266047,"Open / Sparse Cover",0.0407798539990109,"ns"
"Beta_dispersion","TD_Simpson_Eff_TopDown",-0.341370243059539,0.213039818190348,"Open / Sparse Cover",0.116533642846529,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_TopDown",-0.450564953705267,0.0918988763023363,"Open / Sparse Cover",0.203008777507429,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_TopDown",-0.194611101688717,0.487038100507183,"Open / Sparse Cover",0.0378734809004962,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_TopDown",-0.280601261276904,0.311048373446245,"Open / Sparse Cover",0.0787370678301893,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_TopDown",-0.419024908334672,0.120029258187231,"Open / Sparse Cover",0.17558187380488,"ns"
"sum_squares","TD_Beta_Bray_TopDown",0.0973946910247852,0.729864297539651,"Open / Sparse Cover",0.00948572583981338,"ns"
"Beta_dispersion","TD_Beta_Bray_TopDown",0.377988956525051,0.164793851010595,"Open / Sparse Cover",0.142875651254897,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_TopDown",0.487614575632874,0.0652135705152589,"Open / Sparse Cover",0.237767974369628,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_TopDown",0.0905824722312253,0.748172834747252,"Open / Sparse Cover",0.0082051842755207,"ns"
"beta_agg_dispersion","TD_Beta_Bray_TopDown",0.277051437619803,0.317467221115689,"Open / Sparse Cover",0.0767574990871998,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_TopDown",0.415921956230908,0.123083573835838,"Open / Sparse Cover",0.172991073674945,"ns"
"sum_squares","TD_Beta_Dispersion_TopDown",0.214580876642598,0.442497964255475,"Open / Sparse Cover",0.0460449526207058,"ns"
"Beta_dispersion","TD_Beta_Dispersion_TopDown",0.464447398310482,0.0811310083405375,"Open / Sparse Cover",0.215711385797376,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_TopDown",0.546198072401148,0.0351592432965929,"Open / Sparse Cover",0.29833233429473,"*"
"beta_agg_sum_squares","TD_Beta_Dispersion_TopDown",0.207028727356099,0.459095892618978,"Open / Sparse Cover",0.0428608939506858,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_TopDown",0.35912695834139,0.188642927020133,"Open / Sparse Cover",0.128972172207539,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_TopDown",0.477684115444626,0.0717315173967479,"Open / Sparse Cover",0.228182114148115,"ns"
"sum_squares","TD_Richness_TopDown",0.896596152905034,0.292064529648953,"High Stem Density",0.803884661404107,"ns"
"Beta_dispersion","TD_Richness_TopDown",0.809050957448776,0.399963213734779,"High Stem Density",0.65456345174878,"ns"
"Beta_avg_pairwise","TD_Richness_TopDown",0.879864216149513,0.31526679735999,"High Stem Density",0.774161038860396,"ns"
"beta_agg_sum_squares","TD_Richness_TopDown",0.968606208079258,0.159940991596068,"High Stem Density",0.938197986329679,"ns"
"beta_agg_dispersion","TD_Richness_TopDown",0.67987532356042,0.524067764943662,"High Stem Density",0.462230455586385,"ns"
"Beta_agg_avg_pairwise","TD_Richness_TopDown",0.76346854385437,0.446989570477629,"High Stem Density",0.582884217455113,"ns"
"sum_squares","TD_Shannon_Eff_TopDown",0.805408711543436,0.403891718991305,"High Stem Density",0.648683192630058,"ns"
"Beta_dispersion","TD_Shannon_Eff_TopDown",0.899311833989966,0.288136024392427,"High Stem Density",0.808761774754396,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_TopDown",0.949373047804924,0.203439608017638,"High Stem Density",0.901309183898411,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_TopDown",0.91025680128625,0.27176818093842,"High Stem Density",0.828567444287876,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_TopDown",0.79756653835708,0.41224057560131,"High Stem Density",0.636112383106895,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_TopDown",0.864585300682896,0.335162381135277,"High Stem Density",0.747507742156934,"ns"
"sum_squares","TD_Simpson_Eff_TopDown",-0.850747717285329,0.35229901561015,"High Stem Density",0.723771678466197,"ns"
"Beta_dispersion","TD_Simpson_Eff_TopDown",-0.860958858230746,0.339728727773582,"High Stem Density",0.741250155565989,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_TopDown",-0.920825688320801,0.255032311398793,"High Stem Density",0.847919948271476,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_TopDown",-0.940787363660919,0.220175477557265,"High Stem Density",0.885080863624063,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_TopDown",-0.746115538201868,0.463833278982465,"High Stem Density",0.556688396346263,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_TopDown",-0.821069936842161,0.386755084516432,"High Stem Density",0.674155841185991,"ns"
"sum_squares","TD_Beta_Bray_TopDown",-0.288803630730636,0.81348505895791,"High Stem Density",0.0834075371231974,"ns"
"Beta_dispersion","TD_Beta_Bray_TopDown",0.713203376868781,0.494487197658358,"High Stem Density",0.508659056777033,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_TopDown",0.613919825301819,0.579183614033148,"High Stem Density",0.376897551898616,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_TopDown",-0.0853339100180712,0.945608597010795,"High Stem Density",0.00728187619897228,"ns"
"beta_agg_dispersion","TD_Beta_Bray_TopDown",0.835477214955105,0.370382646449475,"High Stem Density",0.698022176709139,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_TopDown",0.762990235101283,0.447460840915508,"High Stem Density",0.582154098859912,"ns"
"sum_squares","TD_Beta_Dispersion_TopDown",-0.37537774875951,0.755025978485433,"High Stem Density",0.140908454263758,"ns"
"Beta_dispersion","TD_Beta_Dispersion_TopDown",0.64592194484476,0.552946278130835,"High Stem Density",0.417215158832037,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_TopDown",0.538949531425194,0.637642694505624,"High Stem Density",0.290466597423436,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_TopDown",-0.176338217631799,0.887149516538318,"High Stem Density",0.0310951669975596,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_TopDown",0.781566688425464,0.428841726921951,"High Stem Density",0.610846488456346,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_TopDown",0.700500924541153,0.505919921387985,"High Stem Density",0.490701545283011,"ns"
