"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"Beta_dispersion","FD_Beta_Dispersion_m2_TopDown",0.286830265530402,0.28143961852178,"Closed / Dense Canopy",0.0822716012242409,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m2_TopDown",0.151804992511557,0.574638568288616,"Closed / Dense Canopy",0.023044755751434,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m2_TopDown",0.256433643480573,0.337713973933177,"Closed / Dense Canopy",0.0657582135087217,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m2_TopDown",0.316017714432344,0.233106345597019,"Closed / Dense Canopy",0.0998671958350428,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m2_TopDown",0.186000744657728,0.49037803840038,"Closed / Dense Canopy",0.0345962770132293,"ns"
"sum_squares","FD_Beta_Turnover_m2_TopDown",0.247831705495763,0.354723633424461,"Closed / Dense Canopy",0.0614205542489387,"ns"
"Beta_dispersion","FD_Beta_Turnover_m2_TopDown",0.28366606761422,0.287016255467951,"Closed / Dense Canopy",0.0804664379157152,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m2_TopDown",0.144831332344694,0.592534137023513,"Closed / Dense Canopy",0.0209761148287392,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m2_TopDown",0.256601046712898,0.337387645295699,"Closed / Dense Canopy",0.0658440971741547,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m2_TopDown",0.327301254804717,0.215922929130651,"Closed / Dense Canopy",0.107126111396742,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m2_TopDown",0.189881310374625,0.481206483392723,"Closed / Dense Canopy",0.0360549120295848,"ns"
"sum_squares","FD_FDis_m1_TopDown",0.0736138615266947,0.889778664490175,"Open / Sparse Cover",0.00541900060887138,"ns"
"Beta_dispersion","FD_FDis_m1_TopDown",0.401916002251494,0.429588043318778,"Open / Sparse Cover",0.161536472865823,"ns"
"Beta_avg_pairwise","FD_FDis_m1_TopDown",0.433672423903059,0.390272134599134,"Open / Sparse Cover",0.188071771253954,"ns"
"beta_agg_sum_squares","FD_FDis_m1_TopDown",0.448868745701287,0.371916626052976,"Open / Sparse Cover",0.201483150867447,"ns"
"beta_agg_dispersion","FD_FDis_m1_TopDown",0.824770071405138,0.0433680280845072,"Open / Sparse Cover",0.680245670685636,"*"
"Beta_agg_avg_pairwise","FD_FDis_m1_TopDown",0.737260949847573,0.0944790368179863,"Open / Sparse Cover",0.543553708170146,"ns"
"sum_squares","FD_RaoQ_m1_TopDown",0.426348652010396,0.399226395639661,"Open / Sparse Cover",0.181773173071081,"ns"
"Beta_dispersion","FD_RaoQ_m1_TopDown",0.627470931091469,0.18231745849902,"Open / Sparse Cover",0.393719769364794,"ns"
"Beta_avg_pairwise","FD_RaoQ_m1_TopDown",0.678740515289441,0.138233265499404,"Open / Sparse Cover",0.460688687095376,"ns"
"beta_agg_sum_squares","FD_RaoQ_m1_TopDown",0.766504401530093,0.0754151790349305,"Open / Sparse Cover",0.587528997565006,"ns"
"beta_agg_dispersion","FD_RaoQ_m1_TopDown",0.891746988752785,0.016943778602875,"Open / Sparse Cover",0.79521269194966,"*"
"Beta_agg_avg_pairwise","FD_RaoQ_m1_TopDown",0.894225583024304,0.0161906268207095,"Open / Sparse Cover",0.799639393335156,"*"
"sum_squares","FD_Beta_Dispersion_m1_TopDown",-0.179092757307416,0.734232993904758,"Open / Sparse Cover",0.0320742157199729,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m1_TopDown",-0.0625731733987925,0.906262739466861,"Open / Sparse Cover",0.00391540202919535,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",-0.00843898510317622,0.987341822842599,"Open / Sparse Cover",7.12164695716302e-05,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m1_TopDown",-0.132918061024674,0.801797054174355,"Open / Sparse Cover",0.0176672109465589,"ns"
