"taxonID","scientificName","LMA_gm2","N_pct","C_pct","d13C","d15N","chlorophyll_mgg","carotenoids_mgg","lignin_pct","cellulose_pct","EWT_g_cm2","n_sites","n_samples"
"ASRE7","Asimina reticulata Shuttlw. ex Chapm.",107.7,1.395,47.26,-31.4,1.1,1.19711785898096,0.288214101904272,8.15,31.2,0.000126890439461716,1,1
"ASTR","Asimina triloba (L.) Dunal",47.3,2.98333333333333,50.61,-28.4666666666667,-0.566666666666667,5.98911718577632,1.17746420878541,9.4,14.1533333333333,9.2013878408481e-05,1,3
"ATCA2","Atriplex canescens (Pursh) Nutt.",132.2,3.3025,44.0340625,-15.3875,6.403125,1.40425567347223,0.358182909634329,5.685625,9.1175,0.000230616158072398,3,16
"ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson",105.4,2.35333333333333,33.5233333333333,-15.8666666666667,5.43333333333333,0.637296350868599,0.194528397369256,6.99,6.51666666666667,0.000273418557895104,1,3
"BABR","Baccharis brachyphylla A. Gray",NA,2.14,54.76,-27.7,2,1.14019933554817,0.258139534883721,10.79,29.95,NA,1,1
"BEAL2","Betula alleghaniensis Britton",108.878947368421,2.40263157894737,48.7194736842105,-28.6052631578947,-2.68947368421053,3.80204976712645,0.664343530643059,16.8105263157895,10.8368421052632,0.000183793803894294,6,19
"BEGL/BENA","Betula glandulosa/nana",53.2,1.935,51.04,-29.3,-3.8,1.5014366347626,0.308975422648679,17.24,9.535,7.6997832848639e-05,2,2
"BELE","Betula lenta L.",54.7307692307692,2.15769230769231,49.21,-30.0269230769231,-2.23076923076923,4.33488835356476,0.711071390652111,18.7061538461538,13.92,9.11004215660369e-05,2,13
"BENE4","Betula neoalaskana Sarg.",65.4307692307692,2.54115384615385,49.9323076923077,-30.2423076923077,-2.53846153846154,4.67112689573742,0.931166750257478,15.4861538461538,11.1330769230769,9.51317087433449e-05,2,13
"BENI","Betula nigra L.",84.9,1.9,51.265,-29.2,3.3,1.7332541544477,0.384209514499837,28.09,12.805,0.000107526920208318,2,2
"BEOC2","Betula occidentalis Hook.",71.9333333333333,2.44333333333333,49.87,-29.4666666666667,-0.633333333333333,2.52137362521505,0.464127334414267,14.9133333333333,10.5266666666667,9.35729624223884e-05,2,3
"BEPA","Betula papyrifera Marshall",67.5461538461538,2.45538461538462,50.0792307692308,-28.3538461538462,-2.58461538461538,2.71924673362806,0.53793831132704,13.0530769230769,9.35769230769231,0.00011163864362725,3,13
"BEPAC2","Betula papyrifera Marshall var. cordifolia (Regel) Fernald",92.4,2.065,51.265,-28,-2.25,2.36642487046632,0.446614853195164,14.155,11.855,0.000117159331364574,1,2
"BEPAP","Betula papyrifera Marshall var. papyrifera",94.86,1.807,52.288,-28.86,-2.64,2.46104927905622,0.527698875222527,14.114,9.876,0.000117684378899577,2,5
"BEPO","Betula populifolia Marshall",90.1,1.4,47.73,-29.3,-0.4,NA,NA,16.78,8.81,0.000102766798418972,1,1
"BERA3","Bejaria racemosa Vent.",95.2,1.22,57.785,-29.8,-0.65,1.11583275503418,0.310839053327818,33.735,10.425,0.00013825650881235,1,2
"BETH","Berberis thunbergii DC.",57.6,2.13,47.61,-28.4,2.1,1.0641592920354,0.121681415929204,6.56,11.78,0.000138546146795459,1,1
"BOSU2","Bourreria succulenta Jacq.",125.975,1.68,44.9575,-27.175,4.3,2.73608354271357,0.626826005025126,11.7575,24.5625,0.000203418714463341,1,4
"BUBU","Bucida buceras L.",111.369230769231,1.64730769230769,44.3419230769231,-27.9038461538462,4.88076923076923,2.80936844395957,0.517006520054087,9.35576923076923,25.7796153846154,0.000129937242522295,1,13
"BUCA15","Butia capitata (Mart.) Becc.",317.9,1.19,51.03,-29.9,-1.2,1.1304347826087,0.216879795396419,20.03,34.61,0.000386736026528191,1,2
"BUSI","Bursera simaruba (L.) Sarg.",57.7833333333333,2.08291666666667,49.79375,-27.275,3.93333333333333,2.35203682390289,0.496265470212305,17.3191666666667,16.1525,0.000141660119845235,1,12
"CAAM2","Callicarpa americana L.",73,1.80666666666667,49.5233333333333,-28,-0.6,2.8621683554428,0.74117733110571,11.57,15.26,0.000114394332688606,2,3
"CACA18","Carpinus caroliniana Walter",50.8285714285714,1.94142857142857,47.4657142857143,-30.3,1.98571428571429,2.71570682278872,0.521152527254269,6.42571428571429,17.2114285714286,6.37730762438827e-05,2,7
"CACO15","Carya cordiformis (Wangenh.) K. Koch",87.58,2.391,48.301,-27.11,0.9,2.96655108696898,0.617933094913269,8.917,12.369,0.000163691758351002,5,10
"CADE27","Calocedrus decurrens (Torr.) Florin",289.811111111111,1.087,49.705,-26.98,-4.49,1.50974716736316,0.311183867403119,14.981,14.88,0.000295826939929581,1,18
"CAGL8","Carya glabra (Mill.) Sweet",93.1625,2.048125,47.24375,-27.49375,-2.48125,1.89333276215696,0.36890973120251,10.090625,16.21125,0.000207507709125784,7,16
"CAHA9","Capparis hastata Jacq.",377.8,2.2,51.49,-29.7,7.7,0.446845590798188,0.11084001394214,13.58,11.8,0.000324937959339506,1,1
"CAIL2","Carya illinoinensis (Wangenh.) K. Koch",93.5,2.37,48.29,-29.1,-0.6,1.15096893964013,0.475984282252792,13.64,18.7,0.000139416048295232,1,1
"CAIN5","Capparis indica (L.) Druce",209.4,1.96,46.13,-27.1,8.8,0.880902043692741,0.27061310782241,11.65,15.56,0.000175816526189043,1,1
"CAOV2","Carya ovata (Mill.) K. Koch",79.7125,2.2725,47.239375,-28.13125,-0.35,5.80952240672793,1.11182762922799,13.8,19.51125,0.000105422379011641,3,16
"CAOV3","Carya ovalis (Wangenh.) Sarg.",69.4,2.72666666666667,46.34,-25.9,-1.63333333333333,3.46479767143725,0.663374941606982,7.7,15.89,0.000153813538233566,1,3
"CATO6","Carya tomentosa (Lam.) Nutt.",83.5416666666667,2.01458333333333,47.0625,-28.4916666666667,-0.425,4.30926916898459,0.76466050214887,11.2241666666667,17.3666666666667,0.000115502736168707,8,24
"CAXY","Cassine xylocarpa Vent.",333.2,0.92,49.3,-26.1,2.5,0.768796992481203,0.197368421052632,17.76,19.56,0.000406166849272187,1,1
"CECA4","Cercis canadensis L.",60.55,2.675,47.0775,-29.5,-0.425,5.36614766253422,0.961490739473174,10.36125,14.9325,9.83125265278643e-05,1,4
"CECO","Ceanothus cordulatus Kellogg",74.3,2.76666666666667,50.2933333333333,-28.6333333333333,-0.966666666666667,3.0721076415934,0.651604118288166,11.7733333333333,8.17333333333333,0.000111934353956626,1,3
"CECU","Ceanothus cuneatus (Hook.) Nutt.",210.7875,1.602,51.026,-28.12,-2.22,2.31895016347166,0.52663712536903,7.954,9.122,0.000254104672469728,2,8
"CEEH","Celtis ehrenbergiana (Klotzsch) Liebm.",105.48,3.814,40.314,-25.66,5.12,2.46977179556988,0.541835544891536,2.346,7.07,0.000146321151112186,1,5
"CEER3","Ceratiola ericoides Michx.",152.6,1.18,55.8,-31.9,1.4,3.58350100603622,0.730382293762575,27.54,14.9,0.000159004179538434,1,2
"CEIN3","Ceanothus integerrimus Hook. & Arn.",76.6777777777778,2.62666666666667,46.505,-29.1666666666667,-1.85,4.60815907367132,1.03124424558583,6.71,9.85333333333333,9.62338479077589e-05,1,9
"CELA","Celtis laevigata Willd.",56.615,2.72625,44.59975,-26.8775,1.835,5.52433813372616,1.2004384929601,7.586,13.2835,8.09379768330421e-05,4,20
"CELE2","Ceanothus leucodermis Greene",170.766666666667,2.01,50.2533333333333,-28.7333333333333,-1.3,4.23922228876633,0.96993326011342,7.98,7.24666666666667,0.000182589376071447,1,3
"CEMOG","Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin",139.16,1.954,49.065,-28.24,-2.16,1.99802202177759,0.497822427122328,17.624,13.564,0.00013049842911797,1,6
"CEOC","Celtis occidentalis L.",57.9538461538462,2.92285714285714,44.8078571428571,-27.0357142857143,-0.721428571428571,3.35771240074645,0.678730070298793,8.195,13.9514285714286,0.000100164441887292,2,14
"CEOR7","Celastrus orbiculatus Thunb.",58.1,1.83,47.11,-29.1,0,2.94351918899348,0.881969587255612,2.5,9.76,0.000122484470808118,1,1
"CHFO","Chamaebatia foliolosa Benth.",118.51,1.51,53.65,-28.94,-2.7,3.37459546846264,0.779024139944045,19.154,12.472,0.000111999082852882,1,10
"CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist",141.8,1.22,50.85,-27.2,-6,1.07396149949341,0.186423505572442,12.59,16.45,0.000185264472393185,1,1
"CHTR2","Cheirodendron trigynum (Gaudich.) A. Heller",146.3,1.22,51.5633333333333,-29.4,-7.2,1.18568570557152,0.273986503106793,11.5133333333333,15.29,0.000281958586175635,1,3
"CIGL","Cibotium glaucum (Sm.) Hook. & Arn.",126.3,1.47,47.05,-26.3,-8.5,1.09566326530612,0.181122448979592,34.8,18.96,0.000142015120371062,1,1
"CIME8","Cibotium menziesii Hook.",109.6,1.22,46.88,-26.4,-8.4,1.67073170731707,0.280487804878049,33.12,17.41,0.000163023931262459,1,1
"COAR3","Colubrina arborescens (Mill.) Sarg.",80,2.82,49.49,-27.3,0.4,2.16283924843424,0.505219206680585,11.86,11.66,0.000160930001654807,1,1
"COCO6","Corylus cornuta Marshall",42,2.09,45.36,-28.8,-3,9.61877094972067,1.81005586592179,5.01,12.33,5.9849711676049e-05,1,1
"COCOC","Corylus cornuta Marshall var. californica (A. DC.) Sharp",75.55,2.14,48.215,-29.35,-3.7,6.48230446311473,1.34229363893041,5.995,11.565,8.27632449914085e-05,2,3
"CODI8","Coccoloba diversifolia Jacq.",123,1.505,47.325,-26.5,3.5,2.09285347985348,0.461087912087912,19.605,19.55,0.00015173667131574,1,2
"CODO","Comocladia dodonaea (L.) Urb.",130.9,1.78,48.4,-28.8,1.1,1.84966698382493,0.513796384395814,6.17,13.37,0.000201847903340441,1,1
"COEL2","Colubrina elliptica (Sw.) Briz. & Stern",70.6,2.93,47.53,-26.9,3.1,2.27348394768133,0.537455410225921,4.55,8.36,0.000144030932817786,1,1
"COER3","Coprosma ernodeoides A. Gray",147.8,0.78,53.65,-28.3,-4.4,0.697955390334573,0.196096654275093,9.24,13.31,0.000295572167912593,1,1
"COKR","Coccoloba krugii Lindau",133.7,1.295,48.3,-27.05,1,0.963262533598224,0.222022905223793,23.63,28.65,0.000343569650115299,1,2
