"siteID","FD.u.qDT","FD.u.qDTM","FD.u.qEt","FD.u.M","FD.u.M.prime","FD.u.nsp","FD.nsp","FD.St","FD.M.beta","FD.M.beta.prime","FD.qDT.beta","FD.qDTM.beta","FD.Et.beta","PD.u.qDT","PD.u.qDTM","PD.u.qEt","PD.u.M","PD.u.M.prime","PD.u.nsp","PD.nsp","PD.St","PD.M.beta","PD.M.beta.prime","PD.qDT.beta","PD.qDTM.beta","PD.Et.beta"
"CLBJ",2.8429,1.4233,0.6789,0.1489,0.1956,4.1875,67,67,0.0435,0.0464,13.6833,1.5952,0.8552,3.1512,1.7674,0.5211,0.2435,0.2918,6.0476,127,127,0.1017,0.1067,17.0361,2.732,0.8112
"YELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8378,1.339,0.6144,0.1194,0.1525,4.619,97,97,0.4511,0.4736,15.2808,7.8931,0.7277
"MOAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8521,1.5498,0.722,0.1928,0.2581,3.95,79,79,0.2564,0.2699,14.7041,4.7708,0.7352
"NIWO",2.4875,1.3084,0.8099,0.124,0.1838,3.0714,43,43,0.1325,0.1427,9.7998,2.2985,0.7,2.1532,1.1948,0.8613,0.0905,0.1508,2.5,50,50,0.3883,0.4087,14.7269,6.7178,0.7363
"JORN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6468,1.0947,0.8445,0.0575,0.1181,1.95,39,39,0.014,0.0147,12.1726,1.1698,0.6086
"SRER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4593,1.5747,0.6123,0.1661,0.2019,5.65,113,113,0.0447,0.0471,15.74,1.7039,0.787
"ONAQ",2.0594,1.229,0.9505,0.1112,0.2065,2.1667,39,39,0.271,0.287,13.8143,4.7443,0.7675,2.7694,1.3895,0.6516,0.1406,0.1839,4.25,85,85,0.3673,0.3866,13.5778,5.9871,0.6789
"ABBY",2.9584,1.5429,0.5974,0.1835,0.2299,4.9524,104,104,0.0554,0.0582,13.2191,1.7328,0.6295,4.0724,2.215,0.527,0.2983,0.3427,7.7273,170,170,0.1263,0.1323,19.8827,3.5111,0.9038
"WREF",2.8995,1.3572,0.7759,0.1232,0.1682,3.7368,71,71,0.0512,0.054,16.0941,1.8238,0.8471,3.2766,1.6171,0.5799,0.1883,0.2288,5.65,113,113,0.2209,0.2326,15.1489,4.3468,0.7574
"SJER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2427,1.6677,0.6118,0.2059,0.2538,5.3,106,106,0.1826,0.1922,18.6157,4.3997,0.9308
"SOAP",3.0602,1.5541,0.6528,0.1811,0.2302,4.6875,75,75,0.135,0.144,13.6099,2.8375,0.8506,2.6747,1.8362,0.5177,0.3126,0.3877,5.1667,93,93,0.2675,0.2832,14.0889,4.7684,0.7827
"TEAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2845,1.6642,0.6843,0.2022,0.2554,4.8,96,96,0.1387,0.146,13.3569,2.8531,0.6678
"BONA",2.5432,1.5858,0.7064,0.2303,0.3189,3.6,72,72,0.2177,0.2291,15.6026,4.3959,0.7801,2.966,1.8337,0.5158,0.2811,0.3403,5.75,115,115,0.1871,0.197,15.6903,3.9364,0.7845
"DEJU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3447,1.945,0.5717,0.2825,0.3408,5.85,117,117,0.1817,0.1912,15.654,3.844,0.7827
"HEAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6626,1.9507,0.6518,0.2596,0.3158,5.619,118,118,0.1976,0.2075,16.3279,4.2261,0.7775
"PUUM",2.8623,1.4853,0.609,0.1696,0.2154,4.7,94,94,0.0768,0.0809,11.4167,1.877,0.5708,3.8247,1.5475,0.45,0.1432,0.1622,8.5,170,170,0.034,0.0358,12.864,1.4373,0.6432
"WOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2778,1.9298,0.696,0.4082,0.5878,3.2727,36,36,0.3006,0.3306,10.4214,4.1323,0.9474
