"siteID","TD_Richness_Layered","TD_Shannon_Eff_Layered","TD_Simpson_Eff_Layered","TD_Beta_Bray_Layered","TD_Beta_Dispersion_Layered","PD_Faith_Layered","PD_Beta_Sorensen_Layered","PD_Beta_Dispersion_Layered","FD_FDis_m1_Layered","FD_RaoQ_m1_Layered","FD_Beta_Dispersion_m1_Layered","FD_Beta_Turnover_m1_Layered","FD_FDis_m2_Layered","FD_RaoQ_m2_Layered","FD_Beta_Dispersion_m2_Layered","FD_Beta_Turnover_m2_Layered","TD_Richness_TopDown","TD_Shannon_Eff_TopDown","TD_Simpson_Eff_TopDown","TD_Beta_Bray_TopDown","TD_Beta_Dispersion_TopDown","PD_Faith_TopDown","PD_Beta_Sorensen_TopDown","PD_Beta_Dispersion_TopDown","FD_FDis_m1_TopDown","FD_RaoQ_m1_TopDown","FD_Beta_Dispersion_m1_TopDown","FD_Beta_Turnover_m1_TopDown","FD_FDis_m2_TopDown","FD_RaoQ_m2_TopDown","FD_Beta_Dispersion_m2_TopDown","FD_Beta_Turnover_m2_TopDown","year","tile_num","sum_squares","Beta_dispersion","Beta_avg_pairwise","gamma_sum_squares","gamma_dispersion","beta_agg_sum_squares","beta_agg_dispersion","Beta_agg_avg_pairwise","plot_sum_squares","plot_beta_dispersion","plot_avg_pairwise","n_plots","total_visible_stems","total_site_canopy_area","mean_canopy_height_site","max_canopy_height_site","canopy_height_sd_site","mean_base_crown_height_site","mean_elevation","avg_visible_canopy_per_plot","pct_visible_tree_cover","visible_stems_per_ha","site_year"
"JERC",122,29.7941,1.0839,0.9726,0.6775,856.5682,0.4192,0.4745,NA,NA,NA,NA,NA,NA,NA,NA,99,23.5472,1.1168,0.9673,0.6755,665.9785,0.4431,0.4677,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",96.7622265019538,0.0217150418541189,0.179430230591752,96.7622265019538,0.0217150418541189,0.544805078984078,0.00939319101696686,0.119819318112337,90.080057855772,2.43459615826411,0.284737158860952,32,40,1710.18371,4.2013,30.6,5.58571,0.69786,39.8125,53.44324,13.36081,31.25,"JERC_2024"
"JORN",13,1.5549,5.1153,0.3058,0.2064,315.78,0.7435,0.2602,0.406,0.3305,0.2402,0.3842,0.7219,1.0008,0.4045,0.608,13,1.5255,5.3243,0.2922,0.1962,315.78,0.7435,0.2602,0.388,0.3168,0.2362,0.3755,0.6864,0.9494,0.3965,0.594,2024,"2",3.21019523552247,0.000210518410093939,0.0178930035273123,3.21019523552247,0.000210518410093939,0.0234951426227146,0.000134257957844083,0.0146664132045293,1.88096235151307,0.0587800734847834,0.0255408485658331,20,64,123.12625,0.92172,1.9,0.25592,0.22156,1325.26875,6.15631,1.53908,80,"JORN_2024"
"KONZ",25,9.971,1.1815,0.9738,0.5622,1053.6884,0.3292,0.2926,NA,NA,NA,NA,NA,NA,NA,NA,20,7.7137,1.2536,0.9705,0.5603,889.5206,0.2945,0.3235,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",64.113979371265,0.0050711049095361,0.0765480653680678,64.113979371265,0.0050711049095361,0.319576531836767,0.00213051021224511,0.0488771453504896,4.33397672938294,0.135436772793217,0.0558509259408882,3,54,473.44193,2.55249,11.7,1.35065,0,383.27222,157.81398,39.45349,450,"KONZ_2024"
"LAJA",24,11.1904,1.1277,0.9917,0.5725,788.7257,0.2165,0.3898,NA,NA,NA,NA,NA,NA,NA,NA,15,7.0071,1.2152,0.9942,0.574,530.1822,0.253,0.3599,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",17.486833876178,0.0113772504074027,0.123603865698116,17.486833876178,0.0113772504074027,0.205022519179551,0.00706974204067418,0.100732540887837,12.7741779965145,0.290322227193512,0.0823888110611297,3,6,286.9841,3.76675,11.3,1.51563,0,27.58333,95.66137,23.91534,50,"LAJA_2024"
"LENO",75,15.6899,1.1027,0.6629,0.4614,1210.7147,0.6133,0.2993,1.2717,2.2339,0.4903,0.71,2.0901,5.151,0.8687,1.2609,67,12.3008,1.1182,0.8652,0.6103,859.583,0.5211,0.3886,0.9253,1.7729,0.8463,1.2951,1.5177,3.826,1.336,2.0339,2024,"1",54.8353402765858,0.0196190841776693,0.125739920554271,54.8353402765858,0.0196190841776693,1.08964053602291,0.0213655007063315,0.136030511801973,3.43661085273405,0.107394089147939,0.0646827155173253,21,176,7469.5625,8.13021,41,6.98608,1.52836,13.13977,355.69345,88.92336,209.52381,"LENO_2024"
"MLBS",72,16.9696,1.1172,0.6902,0.4796,1191.2494,0.5259,0.3996,0.769,0.9325,0.4733,0.7002,1.3472,2.3824,0.9278,1.3196,61,13.548,1.1565,0.7807,0.5448,891.8932,0.5044,0.3882,0.6485,0.8513,0.6724,1.026,1.0655,1.8895,1.1298,1.6509,2024,"1",35.4206834587979,0.00841146603153595,0.0750451159848226,35.4206834587979,0.00841146603153595,0.273170616973354,0.00379403634685214,0.0535673494899135,15.3342599428506,0.464674543722745,0.0727393953164875,20,175,3292.0139,9.06726,39.3,6.83128,0.95452,1042.34,164.60069,41.15017,218.75,"MLBS_2024"
"MOAB",28,7.0078,1.3074,0.8711,0.6066,491.6916,0.5699,0.4289,0.6044,0.544,1.3001,1.7211,1.0282,1.4118,1.8093,2.4398,28,8.3779,1.2257,0.8735,0.6078,400.1241,0.4875,0.4681,0.5787,0.4859,1.2652,1.6805,1.023,1.3626,1.7567,2.3798,2024,"2",20.6621241357791,0.00113422210768947,0.0407756492547738,20.6621241357791,0.00113422210768947,0.149629083872695,0.000674004882309436,0.031081779992045,14.9253595197649,0.452283621811058,0.072303955179612,20,212,540.28467,0.8935,5.5,0.37937,0.17776,1841.0033,27.01423,6.75356,265,"MOAB_2024"
"NIWO",43,7.6808,1.2206,0.8289,0.5798,392.288,0.473,0.4823,0.433,0.2617,0.5632,0.8436,0.6252,0.5502,0.8476,1.2676,43,8.9832,1.1976,0.8291,0.5807,410.2404,0.4593,0.4834,0.4264,0.2553,0.5854,0.8716,0.6142,0.5397,0.859,1.2813,2024,"2",239.314531954953,0.0478916413758161,0.265000235696016,239.314531954953,0.0478916413758161,2.17311729562972,0.0350502789617696,0.228671145666822,40.6618097758875,1.27068155549648,0.322081340230039,20,542,2771.67612,6.38701,38,4.30784,0.12632,3195.77196,138.58381,34.64595,677.5,"NIWO_2024"
"ONAQ",32,4.172,1.7225,0.7505,0.5347,566.3526,0.6106,0.4053,0.4506,0.4745,1.2027,1.4896,0.8261,1.5668,1.7669,2.206,27,3.5114,1.8334,0.7629,0.5441,513.0832,0.5689,0.5285,0.4577,0.4918,0.5591,0.8552,0.8739,1.7303,0.937,1.3716,2024,"2",64.7620713488143,0.00259859045617584,0.0563403774609329,64.7620713488143,0.00259859045617584,0.673294057605099,0.0024483420276549,0.0552261754533667,15.619596541396,0.473321107315029,0.0954426322663818,20,753,1221.75019,0.68196,42.2,0.47985,0.06702,1678.75857,61.08751,15.27188,941.25,"ONAQ_2024"
"ORNL",86,24.6418,1.0672,0.8987,0.6266,1226.771,0.4377,0.5012,0.9233,1.529,0.9811,1.4687,1.6878,4.2578,1.6147,2.4064,72,25.2659,1.0591,0.9382,0.6532,971.7704,0.4317,0.5108,0.7683,1.1372,1.1988,1.7638,1.3287,3.0476,1.9097,2.7763,2024,"1",858.952433617852,0.0414152571657595,0.172414712695618,858.952433617852,0.0414152571657595,11.3242359875995,0.0358361898341757,0.177089311637676,10.4750999638754,0.317427271632588,0.100470978877145,26,327,4242.36236,7.08753,35.8,4.25805,0.91121,270.54434,163.16778,40.79195,314.42308,"ORNL_2024"
"RMNP",51,8.5327,1.1788,0.7258,0.5164,941.7443,0.5815,0.3904,0.462,0.4206,0.3686,0.5314,0.669,0.7885,0.5908,0.8476,45,8.5333,1.1925,0.7393,0.5247,811.2006,0.5569,0.4122,0.6217,0.7398,0.4755,0.687,1.0534,1.831,0.8733,1.2493,2024,"1",437.582997209726,0.0251224593644348,0.184279321185421,437.582997209726,0.0251224593644348,2.98285189379324,0.0130826837447072,0.130360382327016,12.3706654392393,0.399053723846431,0.248692243844241,20,714,3312.49532,6.18318,19.7,3.79863,0.49587,2777.05798,165.62477,41.40619,892.5,"RMNP_2024"
"SCBI",83,28.4069,1.0531,0.9007,0.6283,1015.0614,0.4543,0.455,0.8184,0.9806,0.6855,1.0161,1.5124,2.9572,1.0624,1.5514,79,20.7448,1.09,0.9129,0.6403,713.9568,0.4323,0.481,0.6123,0.7413,0.7329,1.0877,1.1626,2.2025,1.2424,1.7861,2024,"1",31.1075181384866,0.00798037920433213,0.0794611341172334,31.1075181384866,0.00798037920433213,0.28216747134037,0.00440886673969328,0.0695110105890517,8.12006733815536,0.246062646610769,0.0871023129367151,25,142,5715.18387,4.53606,46.3,6.11593,0.35779,396.38099,228.60735,57.15184,142,"SCBI_2024"
"SERC",80,13.1128,1.1556,0.7274,0.5078,1069.7534,0.4678,0.3956,0.6845,0.7105,0.3343,0.4828,1.495,2.9261,0.8286,1.2051,71,8.6358,1.3196,0.7974,0.5658,850.8702,0.4322,0.4459,0.5406,0.5614,0.4812,0.6605,1.0977,2.0083,0.9916,1.4155,2024,"1",116.92687439044,0.027972936457043,0.142575823181881,116.92687439044,0.027972936457043,0.991547302754582,0.0128772376981115,0.124195518645626,12.3074069155448,0.361982556339552,0.105935513402387,20,137,4247.2049,7.31206,41,8.54657,0.61957,14.87153,212.36024,53.09006,171.25,"SERC_2024"
"SJER",51,14.1248,1.1351,0.9152,0.6384,675.3959,0.4655,0.489,NA,NA,NA,NA,NA,NA,NA,NA,46,16.0169,1.1184,0.9226,0.6428,626.1239,0.4711,0.4785,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",12.0064326021823,0.00184345656413055,0.0518864424124023,12.0064326021823,0.00184345656413055,0.0929677851469005,0.00112009379695061,0.0403539088493378,18.7826010396929,0.586956282490402,0.138509776255434,20,84,843.2753,2.72067,23.5,1.0915,0.51488,402.38452,42.16377,10.54094,105,"SJER_2024"
