"siteID","file_id","variant","n_comm","M_beta","Ht_beta","qDT_beta","qDTM_beta"
"JORN","JORN_1","VectorNorm",14298,0.0874,177000094.3916,13304.6383,1164.1475
"JORN","JORN_1","BrightVectorNorm",14298,0.0874,177000094.3916,13304.6383,1164.1475
"JORN","JORN_2","Raw",14298,0.1086,164929226.2415,12842.9774,1396.0571
"JORN","JORN_2","BrightnessNorm",14298,0.0662,179848594.3998,13411.2641,889.1978
"JORN","JORN_2","VectorNorm",14298,0.0662,179848594.3998,13411.2641,889.1978
"JORN","JORN_2","BrightVectorNorm",14298,0.0662,179848594.3998,13411.2641,889.1978
"KONA","KONA_1","Raw",427,0.2781,156041.2339,395.5209,111.0098
"KONA","KONA_1","BrightnessNorm",427,0.3501,141083.3638,376.111,132.691
"KONA","KONA_1","VectorNorm",427,0.3501,141083.3638,376.111,132.691
"KONA","KONA_1","BrightVectorNorm",427,0.3501,141083.3638,376.111,132.691
"KONA","KONA_2","Raw",427,0.358,160943.9033,401.6785,144.8104
"KONA","KONA_2","BrightnessNorm",427,0.415,157538.814,397.4119,165.9307
"KONA","KONA_2","VectorNorm",427,0.415,157538.814,397.4119,165.9307
"KONA","KONA_2","BrightVectorNorm",427,0.415,157538.814,397.4119,165.9307
"KONZ","KONZ","Raw",11518,0.1527,109852612.4428,10481.5597,1601.332
"KONZ","KONZ","BrightnessNorm",11518,0.1262,101389136.8804,10069.7173,1271.3498
"KONZ","KONZ","VectorNorm",11518,0.1262,101389136.8804,10069.7173,1271.3498
"KONZ","KONZ","BrightVectorNorm",11518,0.1262,101389136.8804,10069.7173,1271.3498
"LAJA","LAJA","Raw",1060,0.2517,895856.5566,946.9971,239.3973
"LAJA","LAJA","BrightnessNorm",1060,0.257,875192.4727,936.0174,241.5532
"LAJA","LAJA","VectorNorm",1060,0.257,875192.4727,936.0174,241.5532
"LAJA","LAJA","BrightVectorNorm",1060,0.257,875192.4727,936.0174,241.5532
"LENO","LENO_1","Raw",2032,0.1597,3306754.358,1818.9484,291.497
"LENO","LENO_1","BrightnessNorm",2032,0.1072,2983944.4789,1727.9098,186.2299
"LENO","LENO_1","VectorNorm",2032,0.1072,2983944.4789,1727.9098,186.2299
"LENO","LENO_1","BrightVectorNorm",2032,0.1072,2983944.4789,1727.9098,186.2299
"LENO","LENO_2","Raw",2032,0.1355,3280588.0576,1811.7394,246.4107
"LENO","LENO_2","BrightnessNorm",2032,0.1614,3549949.1613,1884.6309,305.2443
"LENO","LENO_2","VectorNorm",2032,0.1614,3549949.1613,1884.6309,305.2443
"LENO","LENO_2","BrightVectorNorm",2032,0.1614,3549949.1613,1884.6309,305.2443
"MLBS","MLBS","Raw",3252,0.0873,6082419.8381,2466.7563,216.3884
"MLBS","MLBS","BrightnessNorm",3252,0.1254,5680143.3906,2383.8052,299.8447
"MLBS","MLBS","VectorNorm",3252,0.1254,5680143.3906,2383.8052,299.8447
"MLBS","MLBS","BrightVectorNorm",3252,0.1254,5680143.3906,2383.8052,299.8447
"MOAB","MOAB_1","Raw",16210,0.1563,206288807.7535,14363.2577,2246.2659
"MOAB","MOAB_1","BrightnessNorm",16210,0.147,230314313.7761,15176.61,2231.678
"MOAB","MOAB_1","VectorNorm",16210,0.147,230314313.7761,15176.61,2231.678
"MOAB","MOAB_1","BrightVectorNorm",16210,0.147,230314313.7761,15176.61,2231.678
"MOAB","MOAB_2","Raw",16210,0.1421,205154803.872,14323.726,2036.2947
"MOAB","MOAB_2","BrightnessNorm",16210,0.1019,228584854.14,15119.5229,1542.3737
"MOAB","MOAB_2","VectorNorm",16210,0.1019,228584854.14,15119.5229,1542.3737
"MOAB","MOAB_2","BrightVectorNorm",16210,0.1019,228584854.14,15119.5229,1542.3737
"NIWO","NIWO_1","Raw",4324,0.3362,15307125.3692,3912.9322,1316.5539
"NIWO","NIWO_1","BrightnessNorm",4324,0.2631,14762462.8572,3842.6951,1011.8365
"NIWO","NIWO_1","VectorNorm",4324,0.2631,14762462.8572,3842.6951,1011.8365
"NIWO","NIWO_1","BrightVectorNorm",4324,0.2631,14762462.8572,3842.6951,1011.8365
"NIWO","NIWO_2","Raw",4324,0.1673,14599685.8563,3821.4536,640.1697
"NIWO","NIWO_2","BrightnessNorm",4324,0.3548,15370906.1499,3921.0748,1392.1269
"NIWO","NIWO_2","VectorNorm",4324,0.3548,15370906.1499,3921.0748,1392.1269
"NIWO","NIWO_2","BrightVectorNorm",4324,0.3548,15370906.1499,3921.0748,1392.1269
"OAES","OAES_1","Raw",1719,0.1516,2395667.4471,1548.2945,235.7505
"OAES","OAES_1","BrightnessNorm",1719,0.1703,2188116.172,1479.7283,252.9338
"OAES","OAES_1","VectorNorm",1719,0.1703,2188116.172,1479.7283,252.9338
"OAES","OAES_1","BrightVectorNorm",1719,0.1703,2188116.172,1479.7283,252.9338
"OAES","OAES_2","Raw",1719,0.1873,2449611.9663,1565.6237,294.2162
"OAES","OAES_2","BrightnessNorm",1719,0.1646,2221274.9755,1490.8943,246.3765
"OAES","OAES_2","VectorNorm",1719,0.1646,2221274.9755,1490.8943,246.3765
"OAES","OAES_2","BrightVectorNorm",1719,0.1646,2221274.9755,1490.8943,246.3765
"ONAQ","ONAQ_1","Raw",23314,0.0988,419406107.2771,20479.9069,2024.3694
"ONAQ","ONAQ_1","BrightnessNorm",23314,0.0947,399236997.1454,19981.4158,1893.3383
"ONAQ","ONAQ_1","VectorNorm",23314,0.0947,399236997.1454,19981.4158,1893.3383
"ONAQ","ONAQ_1","BrightVectorNorm",23314,0.0947,399236997.1454,19981.4158,1893.3383
"ONAQ","ONAQ_2","Raw",23314,0.171,408790117.3409,20219.0587,3458.4458
"ONAQ","ONAQ_2","BrightnessNorm",23314,0.1875,411962109.13,20297.3497,3807.2273
"ONAQ","ONAQ_2","VectorNorm",23314,0.1875,411962109.13,20297.3497,3807.2273
"ONAQ","ONAQ_2","BrightVectorNorm",23314,0.1875,411962109.13,20297.3497,3807.2273
"ORNL","ORNL","Raw",17516,0.1679,217122326.5263,14735.5713,2474.3983
"ORNL","ORNL","BrightnessNorm",17516,0.1149,176304790.1616,13278.4814,1526.7683
"ORNL","ORNL","VectorNorm",17516,0.1149,176304790.1616,13278.4814,1526.7683
"ORNL","ORNL","BrightVectorNorm",17516,0.1149,176304790.1616,13278.4814,1526.7683
"RMNP","RMNP_1","Raw",15096,0.1987,177233222.1884,13313.3968,2645.7918
"RMNP","RMNP_1","BrightnessNorm",15096,0.2509,179343806.8626,13392.4307,3361.0481
"RMNP","RMNP_1","VectorNorm",15096,0.2509,179343806.8626,13392.4307,3361.0481
"RMNP","RMNP_1","BrightVectorNorm",15096,0.2509,179343806.8626,13392.4307,3361.0481
"RMNP","RMNP_2","Raw",15096,0.177,177894553.217,13338.2117,2361.8173
"RMNP","RMNP_2","BrightnessNorm",15096,0.2634,182161034.4195,13497.2046,3555.7311
"RMNP","RMNP_2","VectorNorm",15096,0.2634,182161034.4195,13497.2046,3555.7311
"RMNP","RMNP_2","BrightVectorNorm",15096,0.2634,182161034.4195,13497.2046,3555.7311
"SCBI","SCBI_1","Raw",2839,0.1912,6109204.7495,2472.1806,473.7568
"SCBI","SCBI_1","BrightnessNorm",2839,0.1444,4129425.9293,2032.599,294.5474
"SCBI","SCBI_1","VectorNorm",2839,0.1444,4129425.9293,2032.599,294.5474
"SCBI","SCBI_1","BrightVectorNorm",2839,0.1444,4129425.9293,2032.599,294.5474
"SCBI","SCBI_2","Raw",2839,0.0921,4276918.5016,2068.5713,191.5678
"SCBI","SCBI_2","BrightnessNorm",2839,0.1953,5064975.8883,2251.0502,440.7006
"SCBI","SCBI_2","VectorNorm",2839,0.1953,5064975.8883,2251.0502,440.7006
"SCBI","SCBI_2","BrightVectorNorm",2839,0.1953,5064975.8883,2251.0502,440.7006
"SERC","SERC","Raw",2852,0.1422,5990776.3442,2448.1063,349.0886
"SERC","SERC","BrightnessNorm",2852,0.1133,4466299.6608,2113.8622,240.4273
"SERC","SERC","VectorNorm",2852,0.1133,4466299.6608,2113.8622,240.4273
"SERC","SERC","BrightVectorNorm",2852,0.1133,4466299.6608,2113.8622,240.4273
"SJER","SJER","Raw",5743,0.1807,26145681.0705,5113.7848,925.0681
"SJER","SJER","BrightnessNorm",5743,0.187,28066568.8363,5298.2891,992.0247
"SJER","SJER","VectorNorm",5743,0.187,28066568.8363,5298.2891,992.0247
"SJER","SJER","BrightVectorNorm",5743,0.187,28066568.8363,5298.2891,992.0247
"SOAP","SOAP_1","Raw",1669,0.1793,2286558.864,1512.6373,272.2477
