"siteID","file_id","variant","sample_n","q","M","M_prime","qHt","qEt","qDT","qDTM"
"CLBJ","CLBJ","BrightVectorNorm",12106,0,0.1773,0.1773,146535640,1,12105.6906,2146.8102
"CLBJ","CLBJ","BrightVectorNorm",12106,1,0.1773,0.1773,115097847.6122,0.8862,10728.8665,1902.7594
"CLBJ","CLBJ","BrightVectorNorm",12106,2,0.1773,0.1773,96239006.2277,0.8104,9810.6481,1739.9994
"CPER","CPER","Raw",22421,0,0.1728,0.1728,502660146,1,22420.5835,3876.0463
"CPER","CPER","Raw",22421,1,0.1728,0.1728,409566583.4167,0.9026,20238.2514,3498.8644
"CPER","CPER","Raw",22421,2,0.1728,0.1728,349508353.8947,0.8338,18695.6425,3232.2487
"CPER","CPER","BrightnessNorm",22421,0,0.1537,0.1537,502660146,1,22420.5835,3447.3454
"CPER","CPER","BrightnessNorm",22421,1,0.1537,0.1537,427909980.8354,0.9226,20686.4851,3180.7911
"CPER","CPER","BrightnessNorm",22421,2,0.1537,0.1537,371005521.1947,0.8591,19262.0036,2961.8291
"CPER","CPER","VectorNorm",22421,0,0.1537,0.1537,502660146,1,22420.5835,3447.3454
"CPER","CPER","VectorNorm",22421,1,0.1537,0.1537,427909980.8354,0.9226,20686.4851,3180.7911
"CPER","CPER","VectorNorm",22421,2,0.1537,0.1537,371005521.1947,0.8591,19262.0036,2961.8291
"CPER","CPER","BrightVectorNorm",22421,0,0.1537,0.1537,502660146,1,22420.5835,3447.3454
"CPER","CPER","BrightVectorNorm",22421,1,0.1537,0.1537,427909980.8354,0.9226,20686.4851,3180.7911
"CPER","CPER","BrightVectorNorm",22421,2,0.1537,0.1537,371005521.1947,0.8591,19262.0036,2961.8291
"DCFS","DCFS","Raw",2516,0,0.1991,0.1992,6325748,0.9998,2515.604,501.9642
"DCFS","DCFS","Raw",2516,1,0.1991,0.1992,3867245.9197,0.7818,1967.0315,392.72
"DCFS","DCFS","Raw",2516,2,0.1991,0.1992,2794024.459,0.6646,1672.0336,333.9733
"DCFS","DCFS","BrightnessNorm",2516,0,0.1343,0.1343,6325748,0.9998,2515.604,338.832
"DCFS","DCFS","BrightnessNorm",2516,1,0.1343,0.1343,3460383.8494,0.7396,1860.7108,250.8834
"DCFS","DCFS","BrightnessNorm",2516,2,0.1343,0.1343,2121650.1275,0.5791,1457.0886,196.6791
"DCFS","DCFS","VectorNorm",2516,0,0.1343,0.1343,6325748,0.9998,2515.604,338.832
"DCFS","DCFS","VectorNorm",2516,1,0.1343,0.1343,3460383.8494,0.7396,1860.7108,250.8834
"DCFS","DCFS","VectorNorm",2516,2,0.1343,0.1343,2121650.1275,0.5791,1457.0886,196.6791
"DCFS","DCFS","BrightVectorNorm",2516,0,0.1343,0.1343,6325748,0.9998,2515.604,338.832
"DCFS","DCFS","BrightVectorNorm",2516,1,0.1343,0.1343,3460383.8494,0.7396,1860.7108,250.8834
"DCFS","DCFS","BrightVectorNorm",2516,2,0.1343,0.1343,2121650.1275,0.5791,1457.0886,196.6791
